,Time,Open,High,Low,Close,Volume,Readable_time
0,1698796800000,38.41,38.76,37.9,38.63,520340.12000000,2023-11-01 00:00:00
1,1698800400000,38.64,38.79,38.06,38.68,426527.56000000,2023-11-01 01:00:00
2,1698804000000,38.68,38.69,37.92,38.19,276047.59000000,2023-11-01 02:00:00
3,1698807600000,38.19,38.41,38.02,38.27,191897.64000000,2023-11-01 03:00:00
4,1698811200000,38.28,38.41,38.05,38.38,167904.72000000,2023-11-01 04:00:00
5,1698814800000,38.38,38.5,37.81,38.03,296811.69000000,2023-11-01 05:00:00
6,1698818400000,38.02,38.25,37.9,38.1,227553.52000000,2023-11-01 06:00:00
7,1698822000000,38.1,39.4,38.1,38.46,611483.54000000,2023-11-01 07:00:00
8,1698825600000,38.46,38.71,38.0,38.61,420284.29000000,2023-11-01 08:00:00
9,1698829200000,38.62,39.49,38.42,39.22,646288.85000000,2023-11-01 09:00:00
10,1698832800000,39.23,39.8,38.92,39.07,776575.84000000,2023-11-01 10:00:00
11,1698836400000,39.07,39.68,38.73,39.28,524539.80000000,2023-11-01 11:00:00
12,1698840000000,39.28,39.5,38.85,39.33,432888.11000000,2023-11-01 12:00:00
13,1698843600000,39.33,39.94,39.0,39.68,755171.40000000,2023-11-01 13:00:00
14,1698847200000,39.68,40.95,39.55,40.16,1505959.57000000,2023-11-01 14:00:00
15,1698850800000,40.16,41.84,40.06,40.66,1510920.67000000,2023-11-01 15:00:00
16,1698854400000,40.67,41.63,40.39,41.35,749165.59000000,2023-11-01 16:00:00
17,1698858000000,41.35,44.85,41.2,44.58,1924095.10000000,2023-11-01 17:00:00
18,1698861600000,44.58,46.9,43.53,43.91,2447177.76000000,2023-11-01 18:00:00
19,1698865200000,43.92,44.41,41.48,42.0,1788782.83000000,2023-11-01 19:00:00
20,1698868800000,42.0,42.64,41.35,42.13,904554.40000000,2023-11-01 20:00:00
21,1698872400000,42.13,43.62,41.72,43.62,882117.04000000,2023-11-01 21:00:00
22,1698876000000,43.62,43.82,42.2,42.31,565123.30000000,2023-11-01 22:00:00
23,1698879600000,42.32,42.36,40.57,41.15,934149.05000000,2023-11-01 23:00:00
24,1698883200000,41.16,42.02,41.1,41.99,621605.12000000,2023-11-02 00:00:00
25,1698886800000,41.98,42.19,41.6,41.87,380673.19000000,2023-11-02 01:00:00
26,1698890400000,41.87,42.84,41.66,42.33,429949.68000000,2023-11-02 02:00:00
27,1698894000000,42.33,42.66,41.9,42.59,292721.67000000,2023-11-02 03:00:00
28,1698897600000,42.59,42.79,41.99,42.21,252722.65000000,2023-11-02 04:00:00
29,1698901200000,42.21,42.4,41.11,41.83,456758.66000000,2023-11-02 05:00:00
30,1698904800000,41.83,42.97,41.78,42.92,419221.29000000,2023-11-02 06:00:00
31,1698908400000,42.92,43.46,42.78,43.12,521875.91000000,2023-11-02 07:00:00
32,1698912000000,43.12,44.08,42.53,43.88,606464.64000000,2023-11-02 08:00:00
33,1698915600000,43.88,43.92,43.22,43.6,366301.39000000,2023-11-02 09:00:00
34,1698919200000,43.6,43.77,43.11,43.22,270016.74000000,2023-11-02 10:00:00
35,1698922800000,43.21,44.57,43.08,44.47,667433.24000000,2023-11-02 11:00:00
36,1698926400000,44.47,44.5,43.56,43.63,547986.07000000,2023-11-02 12:00:00
37,1698930000000,43.63,43.81,42.5,43.32,1133167.60000000,2023-11-02 13:00:00
38,1698933600000,43.32,43.6,42.01,42.25,903513.86000000,2023-11-02 14:00:00
39,1698937200000,42.25,42.32,40.01,40.03,1206569.06000000,2023-11-02 15:00:00
40,1698940800000,40.03,40.95,39.16,39.6,1417120.32000000,2023-11-02 16:00:00
41,1698944400000,39.59,40.34,38.65,40.21,1084768.59000000,2023-11-02 17:00:00
42,1698948000000,40.2,40.29,39.51,39.77,519674.56000000,2023-11-02 18:00:00
43,1698951600000,39.77,41.58,39.65,41.42,660110.93000000,2023-11-02 19:00:00
44,1698955200000,41.42,42.13,40.49,40.79,942923.54000000,2023-11-02 20:00:00
45,1698958800000,40.78,40.81,40.02,40.51,316198.26000000,2023-11-02 21:00:00
46,1698962400000,40.5,40.51,39.66,40.03,424980.37000000,2023-11-02 22:00:00
47,1698966000000,40.03,40.46,39.55,40.23,301073.57000000,2023-11-02 23:00:00
48,1698969600000,40.24,40.26,38.74,39.11,680497.79000000,2023-11-03 00:00:00
49,1698973200000,39.1,39.4,38.02,38.67,776196.11000000,2023-11-03 01:00:00
50,1698976800000,38.68,38.88,37.98,38.59,513069.15000000,2023-11-03 02:00:00
51,1698980400000,38.6,39.22,38.36,38.94,321233.53000000,2023-11-03 03:00:00
52,1698984000000,38.94,39.12,38.05,38.45,357709.69000000,2023-11-03 04:00:00
53,1698987600000,38.44,39.03,38.0,39.0,421174.29000000,2023-11-03 05:00:00
54,1698991200000,39.0,39.09,38.68,38.99,265939.36000000,2023-11-03 06:00:00
55,1698994800000,39.0,39.06,38.81,39.02,275774.68000000,2023-11-03 07:00:00
56,1698998400000,39.02,39.77,38.53,39.18,640646.70000000,2023-11-03 08:00:00
57,1699002000000,39.18,39.49,38.5,38.68,494923.56000000,2023-11-03 09:00:00
58,1699005600000,38.67,38.72,38.08,38.66,455419.90000000,2023-11-03 10:00:00
59,1699009200000,38.67,39.17,38.48,39.15,394219.77000000,2023-11-03 11:00:00
60,1699012800000,39.15,39.89,38.8,39.69,625190.68000000,2023-11-03 12:00:00
61,1699016400000,39.7,39.84,39.01,39.6,433355.35000000,2023-11-03 13:00:00
62,1699020000000,39.61,40.2,39.3,39.79,601953.68000000,2023-11-03 14:00:00
63,1699023600000,39.79,39.9,39.26,39.79,389369.40000000,2023-11-03 15:00:00
64,1699027200000,39.81,40.06,39.46,39.76,444888.99000000,2023-11-03 16:00:00
